,AGE,CUS_Month_Income,YEARS_WITH_US,# total debit transactions for S1,# total debit transactions for S2,# total debit transactions for S3,total debit amount for S1,total debit amount for S2,total debit amount for S3,# total credit transactions for S1,# total credit transactions for S2,# total credit transactions for S3,total credit amount for S1,total credit amount for S2,total credit amount for S3,total debit amount,total debit transactions,total credit amount,total credit transactions,total transactions,CUS_Target,CUS_Gender_MALE,CUS_Marital_Status_DIVORCE,CUS_Marital_Status_MARRIED,CUS_Marital_Status_OTHER,CUS_Marital_Status_PARTNER,CUS_Marital_Status_SINGLE,CUS_Marital_Status_WIDOWED,TAR_Desc_EXECUTIVE,TAR_Desc_LOW,TAR_Desc_MIDLE,TAR_Desc_PLATINUM,Status_ACTIVE
35,48,3000.0,14,51,4,13,101173.49,6963.0,43260.5,0,0,0,0.0,0.0,0.0,151396.99,68,0.0,0,68,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,60,3000.0,14,19,18,21,39403.6,37010.0,42461.7,7,6,7,39524.74,37033.6,42457.44,118875.3,58,119015.78,20,78,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37,48,3500.0,14,49,50,36,164095.0,201750.0,129000.0,8,6,7,178019.86,172938.85,199331.88,494845.0,135,550290.59,21,156,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
38,41,1014.0,14,21,44,8,58879.85,143355.05,44045.62,13,6,4,75300.0,66000.0,58000.0,246280.52,73,199300.0,23,96,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,87,2500000.0,14,15,15,16,35823.6,32850.0,37844.7,7,6,7,35902.0,33033.0,37729.0,106518.3,46,106664.0,20,66,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
40,48,3500.0,14,5,0,0,12725.01,0.0,0.0,0,0,0,0.0,0.0,0.0,12725.01,5,0.0,0,5,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
41,46,2000000.0,14,19,0,0,44155.0,0.0,0.0,2,0,0,8500.0,0.0,0.0,44155.0,19,8500.0,2,21,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42,16,1000000.0,14,15,6,3,42100.0,3500.0,1600.0,1,0,0,41000.0,0.0,0.0,47200.0,24,41000.0,1,25,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
43,69,5000000.0,14,0,1,6,0.0,64417.5,356219.5,0,0,0,0.0,0.0,0.0,420637.0,7,0.0,0,7,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
44,54,2000000.0,14,301,323,246,314719.67,387612.23,331326.17,1,0,0,2000.0,0.0,0.0,1033658.07,870,2000.0,1,871,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
45,51,1557470.0,14,5,0,0,3904.38,0.0,0.0,0,0,0,0.0,0.0,0.0,3904.38,5,0.0,0,5,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46,36,2000000.0,14,1,25,94,4.5,72753.24,1163863.42,2,10,12,419953.35,1963117.03,2475972.89,1236621.16,120,4859043.27,24,144,2212,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
47,52,180.0,4,0,17,0,0.0,53328.96,0.0,0,0,0,0.0,0.0,0.0,53328.96,17,0.0,0,17,2222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,32,500000.0,14,9,5,29,26293.58,88378.4,1426250.0,4,4,7,20308.88,24378.1,1445950.0,1540921.98,43,1490636.98,15,58,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
49,51,1315.0,14,28,21,18,55597.76,77233.13,40640.77,8,7,7,69632.48,66000.0,323754.98,173471.66,67,459387.46,22,89,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
50,33,1500.0,14,76,53,53,357840.0,259075.53,182240.0,14,15,12,360313.32,262219.74,310285.74,799155.53,182,932818.8,41,223,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
51,39,2000000.0,14,0,61,64,0.0,38851.2,26451.0,0,10,9,0.0,23250.0,26900.0,65302.2,125,50150.0,19,144,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,41,12000.0,14,32,14,30,49715.6,34644.5,244242.7,3,2,2,22900.0,31050.0,509000.0,328602.8,76,562950.0,7,83,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
53,34,500000.0,14,199,350,273,526101.14,795611.28,660442.96,9,8,14,599912.1,821646.22,716331.17,1982155.38,822,2137889.49,31,853,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
54,32,1000000.0,14,55,57,65,1655402.28,1268969.06,822333.75,6,40,50,291000.0,1877459.0,1757762.0,3746705.09,177,3926221.0,96,273,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
55,37,2000000.0,14,6,8,9,23053.21,14378.21,16408.38,0,2,3,0.0,11500.0,27000.0,53839.8,23,38500.0,5,28,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
56,58,10287.0,14,4,0,0,1000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1000.0,4,0.0,0,4,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
57,45,6500000.0,14,1,0,12,817.02,0.0,553033.32,0,0,2,0.0,0.0,24000.0,553850.34,13,24000.0,2,15,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
58,64,5250000.0,14,16,12,24,40200.0,53200.0,37500.0,0,0,2,0.0,0.0,38000.0,130900.0,52,38000.0,2,54,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
59,40,1000000.0,14,7,11,41,7978.77,23701.0,101574.91,0,0,3,0.0,0.0,71944.0,133254.68,59,71944.0,3,62,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60,58,6000.0,25,23,28,20,175568.9,91649.5,80175.0,5,5,6,79800.0,97200.0,97200.0,347393.4,71,274200.0,16,87,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
61,45,2500.0,14,16,22,20,36293.6,44000.0,33549.7,5,7,5,29657.75,44959.5,32931.5,113843.3,58,107548.75,17,75,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
62,65,500.0,14,30,24,26,80050.0,63592.02,81950.0,1,0,0,29000.0,0.0,0.0,225592.02,80,29000.0,1,81,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
63,50,5000000.0,8,228,208,202,1459586.17,932585.43,1464454.13,11,10,4,1124492.41,1427791.15,332804.95,3856625.73,638,2885088.51,25,663,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
64,45,2500000.0,14,4,0,0,1919.76,0.0,0.0,0,0,0,0.0,0.0,0.0,1919.76,4,0.0,0,4,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
65,27,200000.0,14,0,1,0,0.0,8000.0,0.0,0,0,0,0.0,0.0,0.0,8000.0,1,0.0,0,1,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
66,51,12000000.0,14,38,15,11,138570.33,47400.0,35600.0,0,0,0,0.0,0.0,0.0,221570.33,64,0.0,0,64,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,49,10760.35,25,561,541,757,1395064.38,970655.98,2681701.8,123,104,88,2065602.22,1631878.59,2406761.4,5047422.16,1859,6104242.21,315,2174,2230,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
68,42,3500000.0,14,4,2,0,1710.78,1000.0,0.0,1,2,0,1000.0,122000.0,0.0,2710.78,6,123000.0,3,9,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
69,43,3200000.0,14,8,19,93,7693.6,109646.41,336553.77,0,2,4,0.0,110000.0,229000.0,453893.78,120,339000.0,6,126,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,37,1000000.0,14,6,6,8,1200.0,1200.0,67800.0,0,2,4,0.0,114000.0,67782.0,70200.0,20,181782.0,6,26,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
71,41,2000000.0,14,101,155,53,598007.06,919453.77,98594.0,6,8,5,72556.0,51764.52,49360.89,1616054.83,309,173681.41,19,328,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72,40,3000000.0,14,20,3,0,12853.6,1510.0,0.0,4,1,0,12000.0,1500.0,0.0,14363.6,23,13500.0,5,28,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
73,18,750000.0,14,0,0,1,0.0,0.0,693.6,0,0,0,0.0,0.0,0.0,693.6,1,0.0,0,1,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
74,20,100000.0,14,1,0,0,693.6,0.0,0.0,0,0,0,0.0,0.0,0.0,693.6,1,0.0,0,1,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
75,39,15000000.0,13,1,38,18,907.8,100669.74,35889.47,0,0,0,0.0,0.0,0.0,137467.01,57,0.0,0,57,2212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
76,31,1000000.0,14,66,93,66,126831.32,158272.94,186579.28,6,7,9,138225.52,167781.24,169765.9,471683.54,225,475772.66,22,247,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,37,1000000.0,14,12,30,30,38387.88,86942.24,91232.6,2,4,1,50000.0,758455.28,15000.0,216562.72,72,823455.28,7,79,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
78,16,200000.0,14,17,15,26,12708.91,10068.35,12172.19,0,0,0,0.0,0.0,0.0,34949.45,58,0.0,0,58,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
79,36,2000000.0,14,121,104,64,610196.25,568006.59,470315.24,0,0,2,0.0,0.0,21000.0,1648518.08,289,21000.0,2,291,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
80,44,4100000.0,14,33,11,14,66605.87,1571.0,10249.7,8,0,4,111495.36,0.0,8197.98,78426.57,58,119693.34,12,70,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
81,34,100000.0,14,18,0,0,12757.6,0.0,0.0,2,0,0,7000.0,0.0,0.0,12757.6,18,7000.0,2,20,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
82,36,1600000.0,14,25,13,33,40831.0,9200.09,70348.67,6,6,7,40450.0,19200.0,65000.0,120379.76,71,124650.0,19,90,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
83,69,4950.0,14,409,118,68,1568941.09,525064.05,462207.91,4,9,48,56173.13,26220.94,1139683.56,2556213.05,595,1222077.63,61,656,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
84,44,400.0,14,49,28,17,80713.57,75785.64,59269.02,12,18,11,243678.01,354921.21,304313.4,215768.23,94,902912.62,41,135,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
85,62,1500000.0,23,21,17,9,41893.6,29400.0,10749.7,0,0,0,0.0,0.0,0.0,82043.3,47,0.0,0,47,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
86,37,2900000.0,14,48,17,12,26459.49,18348.5,6170.4,2,7,1,10000.0,241000.0,2000.0,50978.39,77,253000.0,10,87,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
87,36,1000000.0,14,63,28,66,244951.09,619147.58,880399.96,9,20,33,288000.0,1516500.0,1739500.0,1744498.63,157,3544000.0,62,219,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
88,50,1500.0,14,5,0,0,4893.6,0.0,0.0,0,0,0,0.0,0.0,0.0,4893.6,5,0.0,0,5,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
89,59,5000000.0,14,7,13,0,10400.0,9293.6,0.0,1,5,0,1000.0,9300.0,0.0,19693.6,20,10300.0,6,26,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
90,76,2500000.0,14,16,30,6,9193.6,52700.0,4449.7,0,1,0,0.0,1000.0,0.0,66343.3,52,1000.0,1,53,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
91,44,500.0,14,53,54,57,130445.25,114625.88,142935.61,14,11,11,133639.61,114997.09,144111.24,388006.74,164,392747.94,36,200,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
92,60,5000000.0,14,11,17,11,38000.0,94700.0,44994.99,1,3,0,5500.0,20500.0,0.0,177694.99,39,26000.0,4,43,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
93,48,20000000.0,14,65,16,6,401964.39,498609.5,335000.0,5,1,2,123000.0,30000.0,34100.0,1235573.89,87,187100.0,8,95,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
94,47,3000000.0,14,96,51,54,352111.27,144378.3,168080.25,0,0,0,0.0,0.0,0.0,664569.82,201,0.0,0,201,2212,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
95,47,1500.0,14,223,213,377,4395813.94,4225744.11,6327579.06,20,29,19,3960033.97,3933093.84,6580420.52,14949137.11,813,14473548.33,68,881,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
96,39,1000000.0,14,55,282,86,210268.92,1407895.09,614170.0,3,21,5,115200.0,1801950.0,480000.0,2232334.01,423,2397150.0,29,452,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
97,58,2000000.0,14,40,58,86,108136.0,146286.0,172227.0,6,9,7,141763.22,179739.38,195031.89,426649.0,184,516534.49,22,206,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
98,38,1500.0,14,39,27,42,256502.04,154250.87,173726.46,13,12,9,212000.0,154400.0,186000.0,584479.37,108,552400.0,34,142,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
99,66,1500000.0,21,11,25,22,28500.0,42200.0,31200.0,7,7,18,24294.55,24294.55,26893.5,101900.0,58,75482.6,32,90,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
100,38,3500.0,14,143,292,308,1242546.23,6848445.31,5529385.04,9,20,23,1245803.09,7266893.35,5271050.52,13620376.58,743,13783746.96,52,795,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
101,38,3800000.0,14,107,109,102,285411.08,272662.84,393595.92,10,10,14,345092.92,329191.02,454862.79,951669.84,318,1129146.73,34,352,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
102,43,6500000.0,14,6,8,1,2317.02,1900.0,200.0,1,0,0,2000.0,0.0,0.0,4417.02,15,2000.0,1,16,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
103,39,6853720.0,14,64,43,67,338479.0,163921.6,162066.0,16,18,11,262110.0,153294.0,168113.71,664466.6,174,583517.71,45,219,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
104,41,5000000.0,14,166,173,110,923287.99,350721.38,268436.01,12,13,9,459000.0,232500.0,121500.0,1542445.38,449,813000.0,34,483,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105,38,12800000.0,14,133,67,22,343142.68,241635.0,160790.0,8,6,10,448552.43,276769.0,156050.0,745567.68,222,881371.43,24,246,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
106,52,18000.0,14,191,187,199,524672.33,454798.78,491085.47,9,9,10,654244.48,574243.36,680459.19,1470556.58,577,1908947.03,28,605,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107,30,250000.0,14,28,52,2,44295.31,128019.0,200.0,8,7,3,88290.0,104000.0,20650.0,172514.31,82,212940.0,18,100,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
108,34,500000.0,14,49,49,74,124543.11,65036.0,184553.4,24,12,43,133770.0,36835.0,188690.0,374132.51,172,359295.0,79,251,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
109,39,298.0,14,88,112,72,59578.6,136611.8,74775.86,9,13,19,59500.0,172850.0,76560.0,270966.26,272,308910.0,41,313,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
